Ungrazed,,Grazed,
Root,Fruit,Root,Fruit
6.225,59.77,10.253,116.05
6.487,60.98,6.958,38.94
4.919,14.73,8.001,60.77
5.13,19.28,9.039,84.37
5.417,34.25,8.91,70.11
5.359,35.53,6.106,14.95
7.614,87.73,7.691,70.7
6.352,63.21,8.988,80.31
4.975,24.25,8.975,82.35
6.93,64.34,9.844,105.07
6.248,52.92,8.508,73.79
5.451,32.35,7.354,50.08
6.013,53.61,8.643,78.28
5.928,54.86,7.916,41.48
6.264,64.81,9.351,98.47
7.181,73.24,7.066,40.15
7.001,80.64,8.158,52.26
4.426,18.89,7.382,46.64
7.302,75.49,8.515,71.01
5.836,46.73,8.53,83.03
