root,fruit,management
6.225,59.77,ungrazed
6.487,60.98,ungrazed
4.919,14.73,ungrazed
5.13,19.28,ungrazed
5.417,34.25,ungrazed
5.359,35.53,ungrazed
7.614,87.73,ungrazed
6.352,63.21,ungrazed
4.975,24.25,ungrazed
6.93,64.34,ungrazed
6.248,52.92,ungrazed
5.451,32.35,ungrazed
6.013,53.61,ungrazed
5.928,54.86,ungrazed
6.264,64.81,ungrazed
7.181,73.24,ungrazed
7.001,80.64,ungrazed
4.426,18.89,ungrazed
7.302,75.49,ungrazed
5.836,46.73,ungrazed
10.253,116.05,grazed
6.958,38.94,grazed
8.001,60.77,grazed
9.039,84.37,grazed
8.91,70.11,grazed
6.106,14.95,grazed
7.691,70.7,grazed
8.988,80.31,grazed
8.975,82.35,grazed
9.844,105.07,grazed
8.508,73.79,grazed
7.354,50.08,grazed
8.643,78.28,grazed
7.916,41.48,grazed
9.351,98.47,grazed
7.066,40.15,grazed
8.158,52.26,grazed
7.382,46.64,grazed
8.515,71.01,grazed
8.53,83.03,grazed
